Name,Link,Family,Thickness(%),x-Location_of_Max_Thk(%),Camber(%),Data_Sources,Cl_Max,Cl/Cd_Max,Cd@Cl=0.1,Cd@Cl=0.4,Cd@Cl=0.6
63A108 MOD C,"<a href=""http://www.bigfoil.com/index.php?airfoil=3e38ca90-4341-40bd-bb0e-542d3c29f906"" target=""_blank"">63A108 MOD C</a>",NASA,7.7,30.1,0.6,JF XF,1.02,64,0.011,0.013,0.013
A18,"<a href=""http://www.bigfoil.com/index.php?airfoil=899440fe-fba7-4e7f-bd3c-d91829a403ca"" target=""_blank"">A18</a>",Uncategorized,7.3,30.1,3.2,JF WT XF,1.40,84,0.011,0.011,0.011
A18 (SMOOTHED),"<a href=""http://www.bigfoil.com/index.php?airfoil=32b00f8c-27a1-4f14-adb5-d6a0c80f1d0f"" target=""_blank"">A18 (smoothed)</a>",Uncategorized,7.3,26.5,3.8,JF XF,1.31,85,0.011,0.011,0.011
A6014-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=4547f404-59c8-4831-acdd-c083958750c3"" target=""_blank"">A6014-S</a>",Ayers,6.0,30.1,1.4,JF XF,0.70,88,0.005,0.005,0.067
A6016-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=ec08b184-da7f-46e5-b96b-9cda9f555c87"" target=""_blank"">A6016-S</a>",Ayers,6.0,30.1,1.6,JF XF,0.77,89,0.005,0.006,0.072
A6018-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=17d1cf15-8dc9-4f83-9e3a-cff8a2ade278"" target=""_blank"">A6018-S</a>",Ayers,6.0,31.9,1.8,JF XF,0.77,96,0.005,0.004,0.072
A6020-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=9158a3b0-bbde-4951-892f-8141964f88ff"" target=""_blank"">A6020-S</a>",Ayers,6.0,31.9,2.0,JF XF,0.80,98,0.007,0.004,0.072
A6516-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=d83b3c08-d161-42ff-aa54-e95b0a60e5f5"" target=""_blank"">A6516-S</a>",Ayers,6.5,30.1,1.6,JF XF,0.70,89,0.005,0.005,0.063
A6518-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=1ceb3a82-903f-4dbd-82c3-3c32c9d50e23"" target=""_blank"">A6518-S</a>",Ayers,6.5,31.9,1.8,JF XF,0.82,105,0.006,0.004,0.075
A6520-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=fd9fca27-b56b-48b4-bb70-5e6f24b4eba7"" target=""_blank"">A6520-S</a>",Ayers,6.6,31.9,2.0,JF XF,0.85,107,0.006,0.004,0.080
A6522-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=7cef4623-1754-462c-8f69-c987d0f40014"" target=""_blank"">A6522-S</a>",Ayers,6.5,31.9,2.1,JF XF,0.86,111,0.007,0.004,0.080
A7018-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=913e607f-953b-406f-b5e6-c8ee09e713f4"" target=""_blank"">A7018-S</a>",Ayers,7.0,30.1,1.8,JF XF,0.87,102,0.006,0.004,0.079
A7020-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=94662113-f763-49e3-88ca-db408310534c"" target=""_blank"">A7020-S</a>",Ayers,7.0,31.9,1.9,JF XF,0.92,104,0.006,0.004,0.086
A7022-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=a70a6c34-c452-4d49-9ebe-13b11f41b6cf"" target=""_blank"">A7022-S</a>",Ayers,7.0,31.9,2.2,JF XF,0.88,110,0.007,0.004,0.077
A7024-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=b6aa4448-6241-4bec-b8fa-8f92396b2f08"" target=""_blank"">A7024-S</a>",Ayers,7.0,31.9,2.4,JF XF,0.93,119,0.007,0.004,0.084
A7520-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=048e6cde-9482-42f8-a445-54303ef1c941"" target=""_blank"">A7520-S</a>",Ayers,7.5,30.1,2.0,JF XF,0.93,105,0.006,0.005,0.086
A7522-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=80b66aba-11a6-4446-98f0-cce45b1ad13a"" target=""_blank"">A7522-S</a>",Ayers,7.5,31.9,2.2,JF XF,0.92,108,0.007,0.005,0.080
A7524-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=c4a31455-6346-468a-9c60-3857f9b56ccf"" target=""_blank"">A7524-S</a>",Ayers,7.6,31.9,2.3,JF XF,1.03,123,0.007,0.005,0.103
A7526-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=4970ad7d-5d25-4e0a-b78b-a92cc4d61514"" target=""_blank"">A7526-S</a>",Ayers,7.5,31.9,2.6,JF XF,1.03,122,0.019,0.004,0.094
ABRIAL17,"<a href=""http://www.bigfoil.com/index.php?airfoil=517a817d-ec18-4571-86bd-092ba40286f4"" target=""_blank"">Abrial17</a>",Uncategorized,10.0,24.8,3.2,JF XF,1.11,103,0.009,0.009,0.007
AG03 (FLAT AFT BOTTOM),"<a href=""http://www.bigfoil.com/index.php?airfoil=1b960322-5883-4304-9354-21ce6ead92b7"" target=""_blank"">AG03 (flat aft bottom)</a>",Drela,6.2,24.7,2.0,JF XF,1.01,90,0.007,0.006,0.094
AG04,"<a href=""http://www.bigfoil.com/index.php?airfoil=454626fd-b80f-4663-900a-d0bf6aff6bce"" target=""_blank"">AG04</a>",Drela,6.4,21.4,1.7,JF XF,0.96,86,0.007,0.006,0.094
AG08,"<a href=""http://www.bigfoil.com/index.php?airfoil=661c8907-537c-4bf2-ab90-533f47a1a3fd"" target=""_blank"">AG08</a>",Drela,5.8,21.4,1.8,JF XF,0.95,81,0.008,0.007,0.095
AG09,"<a href=""http://www.bigfoil.com/index.php?airfoil=4b153016-3390-4ba6-8920-a50fe694ef52"" target=""_blank"">AG09</a>",Drela,4.9,18.4,1.8,JF XF,0.92,76,0.009,0.007,0.093
AG10,"<a href=""http://www.bigfoil.com/index.php?airfoil=45fa6136-00f7-411e-ab6e-89f22af4eea2"" target=""_blank"">AG10</a>",Drela,4.7,15.6,1.6,JF XF,0.95,64,0.011,0.009,0.108
AG11,"<a href=""http://www.bigfoil.com/index.php?airfoil=79928dff-558b-4309-ab39-048596ba49e2"" target=""_blank"">AG11</a>",Drela,5.8,26.5,2.2,JF XF,1.14,85,0.012,0.008,0.009
AG12,"<a href=""http://www.bigfoil.com/index.php?airfoil=f211d803-f273-4650-a6e8-f8907717ca1c"" target=""_blank"">AG12</a>",Drela,6.2,21.4,1.8,JF XF,0.97,91,0.007,0.006,0.087
AG13,"<a href=""http://www.bigfoil.com/index.php?airfoil=48cc64a8-4038-4c17-9158-0a70cd1df86d"" target=""_blank"">AG13</a>",Drela,5.8,21.4,2.0,JF XF,0.97,91,0.007,0.006,0.089
AG14,"<a href=""http://www.bigfoil.com/index.php?airfoil=286575b9-f4c4-4449-98eb-1adc2ad97608"" target=""_blank"">AG14</a>",Drela,5.4,19.9,2.1,JF XF,0.97,92,0.007,0.006,0.088
AG16,"<a href=""http://www.bigfoil.com/index.php?airfoil=660ec61e-e549-427e-8478-63036026688d"" target=""_blank"">AG16</a>",Drela,7.1,23.1,1.9,JF XF,0.99,94,0.007,0.007,0.085
AG17,"<a href=""http://www.bigfoil.com/index.php?airfoil=7b3f018e-d31e-412d-872d-17ae1122c5e5"" target=""_blank"">AG17</a>",Drela,6.5,21.4,2.0,JF XF,0.99,94,0.007,0.007,0.087
AG18,"<a href=""http://www.bigfoil.com/index.php?airfoil=0f650b33-dc37-4905-a406-9acc95ce66a0"" target=""_blank"">AG18</a>",Drela,5.9,21.4,2.2,JF XF,0.99,94,0.007,0.006,0.088
AG19,"<a href=""http://www.bigfoil.com/index.php?airfoil=5791e763-ef28-4ead-9097-1f48dd2fcbc3"" target=""_blank"">AG19</a>",Drela,5.4,19.9,2.3,JF XF,0.99,94,0.007,0.006,0.087
AG24,"<a href=""http://www.bigfoil.com/index.php?airfoil=34d03e2a-5466-4b56-842b-579ee8b057f5"" target=""_blank"">AG24</a>",Drela,8.4,26.5,2.2,JF XF,1.11,103,0.007,0.007,0.007
AG25,"<a href=""http://www.bigfoil.com/index.php?airfoil=39ba8854-fc1c-43da-b4b6-9f8e0f703255"" target=""_blank"">AG25</a>",Drela,7.6,24.7,2.4,JF XF,1.09,102,0.007,0.007,0.007
AG26,"<a href=""http://www.bigfoil.com/index.php?airfoil=f1c87d57-fb30-4861-b3a3-0b7a5acfefa8"" target=""_blank"">AG26</a>",Drela,6.8,23.1,2.6,JF XF,1.09,101,0.007,0.007,0.007
AG27,"<a href=""http://www.bigfoil.com/index.php?airfoil=e82b8529-349d-4eed-882b-6cafa3803b38"" target=""_blank"">AG27</a>",Drela,6.1,21.4,2.7,JF XF,1.09,98,0.008,0.007,0.007
AG34,"<a href=""http://www.bigfoil.com/index.php?airfoil=a1e7bd36-ced1-4d15-be99-2286567d5fa7"" target=""_blank"">AG34</a>",Drela,9.3,28.3,1.6,JF XF,1.27,89,0.009,0.008,0.008
AG34NORM,"<a href=""http://www.bigfoil.com/index.php?airfoil=76a384a7-7099-449e-9704-533680850d75"" target=""_blank"">AG34norm</a>",Drela,9.3,28.2,2.2,JF XF,1.09,85,0.010,0.009,0.009
AG35,"<a href=""http://www.bigfoil.com/index.php?airfoil=554140dd-e2e9-4518-87b3-a13d6fb894f5"" target=""_blank"">AG35</a>",Drela,8.7,28.3,1.5,JF XF,1.20,85,0.009,0.008,0.008
AG35-R,"<a href=""http://www.bigfoil.com/index.php?airfoil=e25425b5-1254-485c-bc8a-fe882d529edb"" target=""_blank"">AG35-r</a>",Drela,8.7,28.2,2.4,JF XF,1.20,86,0.009,0.008,0.008
AG3516,"<a href=""http://www.bigfoil.com/index.php?airfoil=d2c5731f-9eec-4f0e-a435-3f18682c7fc6"" target=""_blank"">AG3516</a>",Drela,8.5,24.7,2.6,JF XF,1.23,96,0.009,0.009,0.010
AG36,"<a href=""http://www.bigfoil.com/index.php?airfoil=8b7e8f49-b70b-4eb0-99d9-276a893b599e"" target=""_blank"">AG36</a>",Drela,8.2,26.5,1.5,JF XF,1.14,80,0.009,0.008,0.009
AG3617,"<a href=""http://www.bigfoil.com/index.php?airfoil=f56ec128-217b-4ed8-ace6-890eb7c55aca"" target=""_blank"">AG3617</a>",Drela,7.9,24.7,2.6,JF XF,1.17,90,0.009,0.009,0.008
AG37,"<a href=""http://www.bigfoil.com/index.php?airfoil=76392f19-c4c0-4a56-b37e-06b20bdfe8e3"" target=""_blank"">AG37</a>",Drela,7.7,26.5,1.6,JF XF,1.19,72,0.010,0.009,0.010
AG3718,"<a href=""http://www.bigfoil.com/index.php?airfoil=a2515b35-8f83-44c9-9617-c89c148374cb"" target=""_blank"">AG3718</a>",Drela,7.2,23.1,2.7,JF XF,1.23,84,0.010,0.009,0.009
AG38,"<a href=""http://www.bigfoil.com/index.php?airfoil=970de88e-9c1a-4834-97ab-f60a46e6677b"" target=""_blank"">AG38</a>",Drela,7.0,28.3,1.6,JF XF,1.17,65,0.012,0.010,0.011
AG3819,"<a href=""http://www.bigfoil.com/index.php?airfoil=0d128db4-546c-4929-9f81-c9a4d71062fa"" target=""_blank"">AG3819</a>",Drela,6.3,21.5,2.8,JF XF,1.22,76,0.011,0.010,0.009
AG40D-02R,"<a href=""http://www.bigfoil.com/index.php?airfoil=a3799ac3-afff-4b6a-bab9-00c35bcaec91"" target=""_blank"">AG40d-02r</a>",Drela,8.0,26.5,2.1,JF XF,1.08,99,0.007,0.006,0.007
AG44CT -02F,"<a href=""http://www.bigfoil.com/index.php?airfoil=2c2813f8-3d95-45d5-9cd4-bbd8d42fde0d"" target=""_blank"">AG44ct -02f</a>",Drela,7.3,24.7,2.0,JF XF,1.09,103,0.006,0.006,0.006
AG455CT -02F ROT.,"<a href=""http://www.bigfoil.com/index.php?airfoil=1d6d8114-744c-411f-ace8-dbd2cfae1717"" target=""_blank"">AG455ct -02f rot.</a>",Drela,6.5,23.1,1.9,JF XF,1.04,95,0.007,0.006,0.107
AG455CT-02R,"<a href=""http://www.bigfoil.com/index.php?airfoil=3415766c-9c56-4ac6-ab93-cb439e85674b"" target=""_blank"">AG455ct-02r</a>",Drela,6.5,23.1,1.9,JF XF,1.04,95,0.007,0.006,0.107
AG45C -03F,"<a href=""http://www.bigfoil.com/index.php?airfoil=9ee98dc6-80e0-40f9-a1a1-e652316ab00a"" target=""_blank"">AG45c -03f</a>",Drela,6.9,23.1,2.6,JF XF,1.08,96,0.007,0.006,0.007
AG45CT -02F,"<a href=""http://www.bigfoil.com/index.php?airfoil=2e3573d9-6b7c-4c0a-a3d5-c0884e9776a6"" target=""_blank"">AG45ct -02f</a>",Drela,6.9,23.1,1.9,JF XF,1.05,99,0.006,0.006,0.104
AG46C -03F,"<a href=""http://www.bigfoil.com/index.php?airfoil=008e5ba8-1a77-4d18-ab2c-fc8a5e263eeb"" target=""_blank"">AG46c -03f</a>",Drela,6.0,23.1,2.3,JF XF,1.00,90,0.006,0.006,0.111
AG46CT -02F ROT.,"<a href=""http://www.bigfoil.com/index.php?airfoil=e070d9b6-e911-4804-ae1e-054b465330cb"" target=""_blank"">AG46ct -02f rot.</a>",Drela,6.1,23.1,1.7,JF XF,1.00,91,0.006,0.006,0.102
AG47C -03F,"<a href=""http://www.bigfoil.com/index.php?airfoil=ac5905a1-5439-416b-90ef-0cfbd1347dac"" target=""_blank"">AG47c -03f</a>",Drela,5.1,23.1,2.0,JF XF,0.92,85,0.005,0.006,0.109
AG47CT -02F ROT.,"<a href=""http://www.bigfoil.com/index.php?airfoil=cff5ac7d-0f2e-42f2-8f44-e2523d7e3eea"" target=""_blank"">AG47ct -02f rot.</a>",Drela,5.0,21.4,1.3,JF XF,0.92,85,0.005,0.006,0.107
AH 63-K-127/24,"<a href=""http://www.bigfoil.com/index.php?airfoil=1eb18e46-5515-4d43-af9a-019689e37b3e"" target=""_blank"">AH 63-K-127/24</a>",Althaus,12.7,39.7,3.8,JF XF,1.38,213,0.006,0.004,0.004
AH 79-100 A,"<a href=""http://www.bigfoil.com/index.php?airfoil=a5bc2493-2f3a-4fee-8bb9-41862606f647"" target=""_blank"">AH 79-100 A</a>",Althaus,10.0,28.2,3.6,JF XF,1.41,121,0.007,0.007,0.008
AH 79-100 B,"<a href=""http://www.bigfoil.com/index.php?airfoil=6d37ed89-75fc-4f6a-baf6-5c9c47d12507"" target=""_blank"">AH 79-100 B</a>",Althaus,10.0,31.9,6.4,JF XF,1.80,184,0.042,0.006,0.006
AH 79-100 C,"<a href=""http://www.bigfoil.com/index.php?airfoil=1d36a8fd-bdee-4247-830e-99123e17302b"" target=""_blank"">AH 79-100 C</a>",Althaus,9.9,31.9,6.7,JF XF,1.83,288,0.040,0.006,0.006
AH 79-K-132/20,"<a href=""http://www.bigfoil.com/index.php?airfoil=3b0db645-e68e-4208-a69e-534951f29f56"" target=""_blank"">AH 79-K-132/20</a>",Althaus,13.2,39.7,3.7,JF XF,1.31,143,0.006,0.005,0.005
AH 79-K-135/20 B,"<a href=""http://www.bigfoil.com/index.php?airfoil=af0bd679-51b9-4394-848a-5b71876eeb1b"" target=""_blank"">AH 79-K-135/20 B</a>",Althaus,13.5,39.7,3.1,JF XF,1.32,132,0.007,0.005,0.005
AH 79-K-143/18,"<a href=""http://www.bigfoil.com/index.php?airfoil=8caea4f7-e200-46f4-8009-0a617cee7337"" target=""_blank"">AH 79-K-143/18</a>",Althaus,14.3,41.7,2.9,JF XF,1.37,178,0.004,0.004,0.004
AH 80-129,"<a href=""http://www.bigfoil.com/index.php?airfoil=a1d425c3-3580-47c2-aeee-1c3996b5cef5"" target=""_blank"">AH 80-129</a>",Althaus,12.9,41.7,4.1,JF XF,1.16,205,0.005,0.004,0.004
AH 80-136,"<a href=""http://www.bigfoil.com/index.php?airfoil=9645e7e1-4b7d-44a2-8e21-1fe6ee004d1a"" target=""_blank"">AH 80-136</a>",Althaus,13.6,35.8,3.4,JF XF,1.22,136,0.006,0.005,0.005
AH 80-140,"<a href=""http://www.bigfoil.com/index.php?airfoil=9357821e-7f2c-4717-86de-9cc55eb8a4c9"" target=""_blank"">AH 80-140</a>",Althaus,14.0,30.1,4.4,JF XF,1.67,196,0.006,0.005,0.005
AH 81-131,"<a href=""http://www.bigfoil.com/index.php?airfoil=678881a2-ebbc-4475-95d7-19f8ea70e95d"" target=""_blank"">AH 81-131</a>",Althaus,13.1,41.7,2.8,JF XF,1.02,112,0.005,0.004,0.006
AH 81-K-144 W-F KLAPPE,"<a href=""http://www.bigfoil.com/index.php?airfoil=f7af6b62-ee7c-4917-9e5e-4eb3bf6e838e"" target=""_blank"">AH 81-K-144 W-F KLAPPE</a>",Althaus,22.0,17.0,1.1,JF XF,1.82,65,0.006,0.009,0.010
AH 81-K-144/17,"<a href=""http://www.bigfoil.com/index.php?airfoil=29de3af3-f3e3-404b-ac1f-8e622284cc07"" target=""_blank"">AH 81-K-144/17</a>",Althaus,14.5,39.7,4.2,JF XF,1.46,218,0.005,0.004,0.004
AH 82-150 A,"<a href=""http://www.bigfoil.com/index.php?airfoil=3015da58-22c6-4214-bd20-132827b85ace"" target=""_blank"">AH 82-150 A</a>",Althaus,15.0,41.7,3.3,JF XF,1.44,146,0.008,0.005,0.005
AH 82-150 F,"<a href=""http://www.bigfoil.com/index.php?airfoil=ef14fc62-0aec-433e-b872-ff65aa8d7bf3"" target=""_blank"">AH 82-150 F</a>",Althaus,15.0,43.8,3.6,JF XF,1.35,197,0.006,0.004,0.004
AH 83-150 Q,"<a href=""http://www.bigfoil.com/index.php?airfoil=cf7cdb40-f5cb-4bfc-955c-2e084772ded5"" target=""_blank"">AH 83-150 Q</a>",Althaus,15.0,39.7,4.1,JF XF,1.66,274,0.006,0.006,0.005
AH 83-159,"<a href=""http://www.bigfoil.com/index.php?airfoil=540822a9-092d-412e-be51-f02a867baf44"" target=""_blank"">AH 83-159</a>",Althaus,16.0,41.7,3.8,JF XF,1.49,164,0.007,0.004,0.005
AH 85-L-120/17,"<a href=""http://www.bigfoil.com/index.php?airfoil=ff240503-6971-4165-a663-f352cfbe80d7"" target=""_blank"">AH 85-L-120/17</a>",Althaus,12.1,43.8,0.0,JF XF,0.86,95,0.003,0.004,0.099
AH 88-K-130/20,"<a href=""http://www.bigfoil.com/index.php?airfoil=d2cdc9ab-cb12-452d-b1f2-f439346e091e"" target=""_blank"">AH 88-K-130/20</a>",Althaus,13.0,43.8,3.9,JF XF,1.41,196,0.006,0.006,0.005
AH 88-K-136/16,"<a href=""http://www.bigfoil.com/index.php?airfoil=80fdb272-c685-4d56-a31c-d2a984dc4f62"" target=""_blank"">AH 88-K-136/16</a>",Althaus,13.6,43.8,3.0,JF XF,1.24,115,0.003,0.004,0.005
AH 93-156,"<a href=""http://www.bigfoil.com/index.php?airfoil=d8de9a08-c8f3-41ae-997b-7e878e3b23f4"" target=""_blank"">AH 93-156</a>",Althaus,15.7,39.7,3.8,JF XF,1.55,150,0.007,0.004,0.005
AH 93-157,"<a href=""http://www.bigfoil.com/index.php?airfoil=086957f4-11ee-4a6f-9af6-cf11469e9140"" target=""_blank"">AH 93-157</a>",Althaus,15.7,39.7,3.6,JF XF,1.59,164,0.007,0.005,0.005
AH 93-K-130/15,"<a href=""http://www.bigfoil.com/index.php?airfoil=f61ee822-9b19-4204-b5be-8b1f6a908e18"" target=""_blank"">AH 93-K-130/15</a>",Althaus,13.1,41.7,3.6,JF XF,1.27,101,0.007,0.005,0.006
AH 93-K-131/15,"<a href=""http://www.bigfoil.com/index.php?airfoil=04f01343-8aed-450e-ba86-92481887c9ab"" target=""_blank"">AH 93-K-131/15</a>",Althaus,13.1,41.7,3.6,JF XF,1.28,106,0.005,0.005,0.006
AH 93-K-132/15,"<a href=""http://www.bigfoil.com/index.php?airfoil=0a16e7a1-ad39-4553-a1dc-60872c44d73d"" target=""_blank"">AH 93-K-132/15</a>",Althaus,13.2,41.7,3.5,JF XF,1.28,103,0.004,0.006,0.007
AH 93-W-145,"<a href=""http://www.bigfoil.com/index.php?airfoil=b416868d-2763-401c-aa6d-dba451a99b08"" target=""_blank"">AH 93-W-145</a>",Althaus,14.5,33.8,3.9,JF XF,1.62,130,0.009,0.008,0.008
AH 93-W-174,"<a href=""http://www.bigfoil.com/index.php?airfoil=48c18e70-8d35-42db-ad66-abfc019dd279"" target=""_blank"">AH 93-W-174</a>",Althaus,17.4,33.8,3.9,JF XF,1.79,185,0.008,0.007,0.007
AH 93-W-215,"<a href=""http://www.bigfoil.com/index.php?airfoil=6b398873-00d5-4fa1-83a1-41b78083d0f3"" target=""_blank"">AH 93-W-215</a>",Althaus,21.2,33.8,3.1,JF XF,2.05,168,0.008,0.007,0.006
AH 93-W-257,"<a href=""http://www.bigfoil.com/index.php?airfoil=3fef777c-e6c7-4508-b65e-52287473f99f"" target=""_blank"">AH 93-W-257</a>",Althaus,25.7,32.0,1.8,JF XF,1.96,84,0.015,0.014,0.013
AH 93-W-300,"<a href=""http://www.bigfoil.com/index.php?airfoil=c5519a9a-c2cc-494e-82ff-33efd50cc41a"" target=""_blank"">AH 93-W-300</a>",Althaus,30.0,28.3,1.1,JF XF,2.00,42,0.021,0.019,0.020
AH 94-145,"<a href=""http://www.bigfoil.com/index.php?airfoil=a31385e6-fb8c-4828-b6e1-96405a846045"" target=""_blank"">AH 94-145</a>",Althaus,14.6,37.7,5.5,JF XF,1.88,154,0.010,0.009,0.009
AH 94-156,"<a href=""http://www.bigfoil.com/index.php?airfoil=be8d0f3a-49ea-4c01-bd4a-dd41de0b97c8"" target=""_blank"">AH 94-156</a>",Althaus,15.6,39.7,3.8,JF XF,1.52,162,0.006,0.004,0.004
AH 94-W-301,"<a href=""http://www.bigfoil.com/index.php?airfoil=e051548f-f0ca-4862-88c9-8a72d25a3d54"" target=""_blank"">AH 94-W-301</a>",Althaus,30.1,30.2,1.1,JF XF,1.84,50,0.022,0.020,0.021
AH 95-160,"<a href=""http://www.bigfoil.com/index.php?airfoil=dc547217-206b-4149-a24c-4bb005377a88"" target=""_blank"">AH 95-160</a>",Althaus,16.0,37.7,5.5,JF XF,1.97,168,0.010,0.009,0.009
AH-6-40-7,"<a href=""http://www.bigfoil.com/index.php?airfoil=d13674b6-8845-4f2a-8909-233f193abd14"" target=""_blank"">AH-6-40-7</a>",Althaus,6.9,19.9,5.5,JF XF,1.70,88,0.012,0.011,0.012
AH-7-47-6,"<a href=""http://www.bigfoil.com/index.php?airfoil=dc11edff-76dd-41ec-9f5f-b175f03736d4"" target=""_blank"">AH-7-47-6</a>",Althaus,5.9,23.1,6.2,JF XF,1.80,97,0.050,0.038,0.036
AH21 7% VERSION,"<a href=""http://www.bigfoil.com/index.php?airfoil=49e46e77-1b90-4df8-94c5-bf172d58c347"" target=""_blank"">AH21 7% version</a>",Uncategorized,9.0,35.8,2.3,JF XF,1.32,150,0.004,0.004,0.004
AH21 9% VERSION,"<a href=""http://www.bigfoil.com/index.php?airfoil=78d398c2-1355-453a-8fad-fed77c9a93ab"" target=""_blank"">AH21 9% version</a>",Uncategorized,7.0,35.8,1.8,JF XF,1.07,119,0.004,0.004,0.005
AIR 100-2 ACRO MM 576 1999,"<a href=""http://www.bigfoil.com/index.php?airfoil=d12ea695-9f47-4a63-821c-1a70c309727f"" target=""_blank"">AIR 100-2 Acro MM 576 1999</a>",Uncategorized,10.0,30.1,1.4,JF XF,1.16,101,0.006,0.006,0.007
AMES A-01,"<a href=""http://www.bigfoil.com/index.php?airfoil=00cc22db-3219-4a13-967d-d2b76e84f485"" target=""_blank"">AMES A-01</a>",NASA,10.3,31.9,1.4,JF XF,1.25,71,0.016,0.013,0.014
AMES A-02,"<a href=""http://www.bigfoil.com/index.php?airfoil=029c396f-c1c2-47ad-afa6-fab746a5da18"" target=""_blank"">AMES A-02</a>",NASA,7.7,30.1,0.6,JF XF,1.02,64,0.011,0.013,0.013
AMES A-03,"<a href=""http://www.bigfoil.com/index.php?airfoil=9364de23-fc3d-4a92-b8ca-ef780a0d646e"" target=""_blank"">AMES A-03</a>",NASA,10.0,37.7,1.2,JF XF,1.16,67,0.013,0.013,0.014
AMI 43,"<a href=""http://www.bigfoil.com/index.php?airfoil=460b07e3-38a5-4665-90f6-38ca4de97eee"" target=""_blank"">AMI 43</a>",Midic,8.2,24.7,3.7,JF XF,1.33,92,0.010,0.010,0.009
AMSOIL1 RUTAN CANARD,"<a href=""http://www.bigfoil.com/index.php?airfoil=ce48bdbc-cddf-43f6-951e-3fa63ea63555"" target=""_blank"">AMSOIL1 RUTAN CANARD</a>",Uncategorized,11.6,39.7,2.1,JF XF,1.49,84,0.012,0.010,0.010
AMSOIL2 RUTAN WING,"<a href=""http://www.bigfoil.com/index.php?airfoil=6ab59e11-c931-4dae-adc9-8e09b1041619"" target=""_blank"">AMSOIL2 RUTAN WING</a>",Uncategorized,11.8,39.7,1.0,JF XF,1.34,82,0.009,0.012,0.013
APEX 16,"<a href=""http://www.bigfoil.com/index.php?airfoil=b134df7f-296e-41bb-a3b4-b66322a50f94"" target=""_blank"">Apex 16</a>",Uncategorized,12.9,37.7,2.7,JF XF,1.49,134,0.007,0.006,0.006
AQUILA 9.3% SMOOTHED,"<a href=""http://www.bigfoil.com/index.php?airfoil=ddd56699-1a33-4848-a0fd-268b9f0cd6e7"" target=""_blank"">AQUILA 9.3% smoothed</a>",Uncategorized,9.4,30.1,4.0,JF WT XF,1.46,144,0.005,0.005,0.004
ARA-D 10%,"<a href=""http://www.bigfoil.com/index.php?airfoil=6019cd0c-42d2-44f0-adc1-7d43b77ab489"" target=""_blank"">ARA-D 10%</a>",Uncategorized,10.0,24.8,4.0,JF XF,1.83,70,0.019,0.019,0.020
ARA-D 13%,"<a href=""http://www.bigfoil.com/index.php?airfoil=fce49033-02ee-4f73-a6aa-d79760c03fa3"" target=""_blank"">ARA-D 13%</a>",Uncategorized,13.0,24.8,3.6,JF XF,1.93,59,0.024,0.024,0.023
ARA-D 20%,"<a href=""http://www.bigfoil.com/index.php?airfoil=7d778632-9f13-4fab-9b60-5bf8cd4ea0aa"" target=""_blank"">ARA-D 20%</a>",Uncategorized,20.0,26.6,3.8,JF XF,2.23,42,0.032,0.032,0.033
ARA-D 6%,"<a href=""http://www.bigfoil.com/index.php?airfoil=83f58796-6688-460e-bec3-a55c5f8795ca"" target=""_blank"">ARA-D 6%</a>",Uncategorized,6.0,19.9,5.0,JF XF,1.56,87,0.014,0.014,0.014
AS5045 (15%),"<a href=""http://www.bigfoil.com/index.php?airfoil=605707a7-bfbc-4de8-a17e-9e04926a84e4"" target=""_blank"">AS5045 (15%)</a>",Selig et. al.,15.0,37.7,1.0,JF WT XF,1.42,88,0.007,0.007,0.008
AS5046 (16%),"<a href=""http://www.bigfoil.com/index.php?airfoil=bef63f74-8f4c-4069-9aa9-bd8fc8abc690"" target=""_blank"">AS5046 (16%)</a>",Selig et. al.,16.0,37.7,1.0,JF XF,1.52,92,0.008,0.008,0.009
AS5048 (18%),"<a href=""http://www.bigfoil.com/index.php?airfoil=2316e658-1f13-48d2-a438-a64600402ef0"" target=""_blank"">AS5048 (18%)</a>",Selig et. al.,18.0,39.7,1.0,JF WT XF,1.66,97,0.007,0.009,0.009
ATR72SM,"<a href=""http://www.bigfoil.com/index.php?airfoil=728ccfcd-9595-4471-b829-77287ea1d87e"" target=""_blank"">ATR72SM</a>",Uncategorized,14.5,24.7,2.9,JF XF,1.74,142,0.007,0.007,0.007
AUGUST 160,"<a href=""http://www.bigfoil.com/index.php?airfoil=71c46c81-e458-4bc8-b847-638838725f9b"" target=""_blank"">AUGUST 160</a>",Uncategorized,16.0,24.7,5.4,JF XF,1.90,210,0.009,0.008,0.007
