Name,Link,Family,Thickness(%),x-Location_of_Max_Thk(%),Camber(%),Data_Sources,Cl_Max,Cl/Cd_Max,Cd@Cl=0.1,Cd@Cl=0.4,Cd@Cl=0.6
NACA67-220 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=060cfdf8-8e95-4f70-9fa6-e8425ebe434e"" target=""_blank"">NACA67-220 a=0.8</a>",NACA 67-series,20.0,47.9,1.1,JF XF,1.55,157,0.004,0.004,0.004
NACA67-309 A=0.0,"<a href=""http://www.bigfoil.com/index.php?airfoil=7856c9e3-d690-4b8a-b531-54317c422599"" target=""_blank"">NACA67-309 a=0.0</a>",NACA 67-series,9.0,47.9,1.7,JF XF,0.98,121,0.005,0.004,0.102
NACA67-309 A=0.2,"<a href=""http://www.bigfoil.com/index.php?airfoil=1719e516-8a78-4a48-baa8-90609fd1664a"" target=""_blank"">NACA67-309 a=0.2</a>",NACA 67-series,9.0,47.9,1.9,JF XF,0.99,124,0.005,0.004,0.103
NACA67-309 A=0.5,"<a href=""http://www.bigfoil.com/index.php?airfoil=d3aa80dd-8980-466a-9063-f1b328372b38"" target=""_blank"">NACA67-309 a=0.5</a>",NACA 67-series,9.0,47.9,2.1,JF XF,1.00,157,0.005,0.004,0.098
NACA67-309 A=0.6,"<a href=""http://www.bigfoil.com/index.php?airfoil=7af02440-fcb5-4dce-b9c4-9800efe8ad52"" target=""_blank"">NACA67-309 a=0.6</a>",NACA 67-series,9.0,47.9,2.1,JF XF,1.01,168,0.005,0.003,0.097
NACA67-309 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=687b9321-0ebf-452e-8a00-583c95b67811"" target=""_blank"">NACA67-309 a=0.8</a>",NACA 67-series,9.0,47.9,1.9,JF XF,1.01,184,0.005,0.003,0.099
NACA67-310 A=0.0,"<a href=""http://www.bigfoil.com/index.php?airfoil=0160b5c1-57e4-4129-a481-e517accfd2dd"" target=""_blank"">NACA67-310 a=0.0</a>",NACA 67-series,10.0,47.9,1.7,JF XF,1.04,120,0.005,0.004,0.005
NACA67-310 A=0.2,"<a href=""http://www.bigfoil.com/index.php?airfoil=4b56cf01-b50b-4dfb-8c82-ae2aba4bee14"" target=""_blank"">NACA67-310 a=0.2</a>",NACA 67-series,10.0,47.9,1.9,JF XF,1.06,132,0.004,0.004,0.005
NACA67-310 A=0.5,"<a href=""http://www.bigfoil.com/index.php?airfoil=fad4d51b-3973-4f5f-b2f8-05500a349381"" target=""_blank"">NACA67-310 a=0.5</a>",NACA 67-series,10.0,47.9,2.1,JF XF,1.07,162,0.006,0.004,0.004
NACA67-310 A=0.6,"<a href=""http://www.bigfoil.com/index.php?airfoil=2a7aec8b-0f26-4a36-9d36-978fd9c81d81"" target=""_blank"">NACA67-310 a=0.6</a>",NACA 67-series,10.0,47.9,2.1,JF XF,1.07,178,0.004,0.003,0.004
NACA67-310 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=97d269e6-764e-4f06-85cb-41cd1abfe241"" target=""_blank"">NACA67-310 a=0.8</a>",NACA 67-series,10.0,47.9,1.9,JF XF,1.07,187,0.005,0.003,0.003
